speed_object_1_kph,speed_object_2_kph,angle_degrees,PET,acceleration_obj1_mps2,acceleration_obj2_mps2,min_dist_dual_check_m,object_count_at_frame1,target_dist_px,FE_inv_PET,FE_safety_index,FE_log_mesafe,FE_dist_squared,class_object_1,class_object_2
14,14,1.81,2.67,0.0,0.0,16.118,44,219.682,0.37453169493194943,0.063728479967733,5.396722751259664,48260.181123999995,VRU,VRU
14,14,4.13,2.87,0.56,0.0,11.124,48,149.439,0.3484319343442737,0.09368370978336506,5.013557686411737,22332.014721,VRU,VRU
14,14,0.9,2.73,0.0,0.0,15.164,45,206.25,0.36630023212445706,0.0678787875496786,5.333925794015404,42539.0625,VRU,VRU
10,14,2.43,1.47,0.0,0.0,4.739,50,59.625,0.6802716460737102,0.20125785825982628,4.104707349257647,3555.140625,VRU,VRU
10,14,2.5,1.57,0.0,0.0,7.759,46,102.108,0.6369422694635226,0.1175226219539838,4.635776982580992,10426.043664,VRU,VRU
8,4,84.17,1.53,0.56,0.0,1.189,51,9.686,0.6535943440559843,0.6194506897118842,2.3689344735355795,93.818596,VRU,Ped
10,13,3.94,2.6,0.0,1.11,6.213,48,80.359,0.38461523668644737,0.1431078019499023,4.398871460612654,6457.568880999999,Car,VRU
10,9,21.37,2.6,0.0,0.56,3.98,45,48.951,0.38461523668644737,0.19407161867844133,3.9110425249141847,2396.200401,Car,VRU
3,11,61.89,2.2,0.56,0.0,0.5,48,0.0,0.45454524793397816,7000000.0,0.0,0.0,Ped,VRU
2,14,33.56,2.33,0.56,0.56,0.828,55,4.61,0.42918436515692476,1.7353575411371926,1.724550719534605,21.252100000000002,Ped,VRU
11,14,1.3,1.73,0.0,0.0,7.511,50,98.608,0.5780343479570244,0.12676456142742412,4.601242482650111,9723.537664000001,VRU,VRU
11,14,1.49,1.77,0.0,0.0,7.498,49,98.428,0.5649714322195298,0.1269963818527616,4.599433764136155,9688.071184,VRU,VRU
11,14,1.2,1.8,0.0,0.56,7.407,47,97.146,0.5555552469137517,0.12867230633610952,4.586456165943967,9437.345316,VRU,VRU
11,14,1.41,1.8,0.0,0.56,7.519,48,98.726,0.5555552469137517,0.12661304897784728,4.602426425317028,9746.823076,VRU,VRU
11,14,4.45,1.47,0.0,0.0,3.547,50,42.859,0.6802716460737102,0.2916540215204736,3.780979942912221,1836.8938810000002,VRU,VRU
7,6,45.68,2.57,1.11,0.0,5.735,38,73.627,0.3891049069630712,0.08828282982760632,4.312502372023651,5420.9351289999995,Car,Ped
13,8,73.22,2.17,0.0,0.56,1.399,44,12.646,0.4608292807238338,0.8303020061440767,2.613446438393232,159.92131600000002,VRU,VRU
13,8,72.65,2.17,0.0,0.56,1.399,44,12.646,0.4608292807238338,0.8303020061440767,2.613446438393232,159.92131600000002,VRU,VRU
13,8,68.14,1.87,0.0,1.11,1.407,45,12.756,0.5347590723213517,0.8231419862698349,2.62147509257002,162.71553600000001,VRU,VRU
8,9,71.78,2.47,0.0,1.11,3.407,46,40.892,0.40485813568496526,0.20786461391312203,3.7350948779108992,1672.1556640000003,VRU,Car
19,14,12.69,2.5,0.0,0.0,15.637,35,212.907,0.399999840000064,0.0774986257967158,5.365541341125588,45329.39064900001,VRU,Car
12,5,39.07,2.6,0.0,0.0,0.932,42,6.076,0.38461523668644737,1.398946445203021,1.9567087762975388,36.917775999999996,LCV,Ped
12,11,4.4,2.73,0.0,0.0,8.359,43,110.547,0.36630023212445706,0.10402814998120122,4.714446026747288,12220.639208999999,LCV,Car
19,7,0.18,1.7,0.0,0.56,7.242,39,94.835,0.5882349480970894,0.13708019046680878,4.562627962722416,8993.677225,Car,LCV
18,4,0.8,1.57,0.0,0.56,8.324,39,110.044,0.6369422694635226,0.0999600150852385,4.709926519164434,12109.681935999999,Car,LCV
10,8,1.79,2.13,0.0,0.0,1.549,42,14.748,0.4694833476604002,0.610252196212897,2.756713373081491,217.503504,Car,Car
10,8,2.08,2.13,0.0,0.0,1.503,42,14.109,0.4694833476604002,0.637890662847072,2.715290592757704,199.063881,Car,Car
10,8,0.38,1.8,0.0,0.0,1.406,39,12.747,0.5555552469137517,0.7060484266063838,2.620820618489283,162.486009,Car,Car
10,8,0.84,1.8,0.0,0.0,1.517,40,14.311,0.5555552469137517,0.6288868262953794,2.728571524322958,204.804721,Car,Car
10,8,1.35,1.83,0.0,0.0,1.623,38,15.789,0.5464477888263449,0.5700170644108516,2.820723910054261,249.292521,Car,Car
10,8,1.93,1.9,0.0,0.0,1.805,38,18.35,0.5263155124655198,0.4904631885306164,2.962692419475791,336.7225,Car,Car
10,14,73.77,2.97,0.0,0.0,4.835,41,60.974,0.3367002233332581,0.196805192429475,4.126714942252551,3717.8286759999996,LCV,Car
8,15,68.74,2.97,-0.56,0.0,5.767,43,74.087,0.3367002233332581,0.15522291150643283,4.318647441256157,5488.8835690000005,LCV,VRU
11,14,1.56,2.0,0.0,0.0,7.92,42,104.362,0.499999750000125,0.11977539602752539,4.657402039790926,10891.427043999998,Car,Car
1,1,3.55,2.8,0.56,0.0,20.357,48,279.3,0.3571427295918823,0.0035803795074100266,5.635860458170742,78008.49,Car,VRU
